Measure: CPI_YTYPCT
Time Period,Measure,Value
2004-Q1,GDPV_ANNPCT,2.28594433046867
2004-Q2,GDPV_ANNPCT,3.13602888126397
2004-Q3,GDPV_ANNPCT,3.84870761625275
2004-Q4,GDPV_ANNPCT,4.14370781843946
2005-Q1,GDPV_ANNPCT,4.51184226611802
2005-Q2,GDPV_ANNPCT,1.98510642915979
2005-Q3,GDPV_ANNPCT,3.17231100090262
2005-Q4,GDPV_ANNPCT,2.2406507440459
2006-Q1,GDPV_ANNPCT,5.49111588811246
2006-Q2,GDPV_ANNPCT,1.03903516773059
2006-Q3,GDPV_ANNPCT,0.601174258620203
2006-Q4,GDPV_ANNPCT,3.48237292004289
2007-Q1,GDPV_ANNPCT,1.2087836914187
2007-Q2,GDPV_ANNPCT,2.46959471506277
2007-Q3,GDPV_ANNPCT,2.32408808845776
2007-Q4,GDPV_ANNPCT,2.53672714783474
2008-Q1,GDPV_ANNPCT,-1.69616067354812
2008-Q2,GDPV_ANNPCT,2.40306970186406
2008-Q3,GDPV_ANNPCT,-2.08453633141307
2008-Q4,GDPV_ANNPCT,-8.47276895722525
2009-Q1,GDPV_ANNPCT,-4.46280381072726
2009-Q2,GDPV_ANNPCT,-0.712691112533084
2009-Q3,GDPV_ANNPCT,1.41218708769759
2009-Q4,GDPV_ANNPCT,4.39426359230536
2010-Q1,GDPV_ANNPCT,1.9521338205722
2010-Q2,GDPV_ANNPCT,3.92688107405518
2010-Q3,GDPV_ANNPCT,3.12019780261952
2010-Q4,GDPV_ANNPCT,2.11704348422834
2011-Q1,GDPV_ANNPCT,-0.945448954121203
2011-Q2,GDPV_ANNPCT,2.7339190839842
2011-Q3,GDPV_ANNPCT,-0.0892210766206128
2011-Q4,GDPV_ANNPCT,4.56843874217964
2012-Q1,GDPV_ANNPCT,3.39679373864559
2012-Q2,GDPV_ANNPCT,1.79732747326373
2012-Q3,GDPV_ANNPCT,0.57735782865326
2012-Q4,GDPV_ANNPCT,0.463365198053096
2013-Q1,GDPV_ANNPCT,4.00502580794558
2013-Q2,GDPV_ANNPCT,1.07485076507665
2013-Q3,GDPV_ANNPCT,3.44931392255052
2013-Q4,GDPV_ANNPCT,3.53282859865747
2014-Q1,GDPV_ANNPCT,-1.37325489177612
2014-Q2,GDPV_ANNPCT,5.26836502658262
2014-Q3,GDPV_ANNPCT,4.95091653493071
2014-Q4,GDPV_ANNPCT,2.03833031030573
2015-Q1,GDPV_ANNPCT,3.65088503111974
2015-Q2,GDPV_ANNPCT,2.50073531096435
2015-Q3,GDPV_ANNPCT,1.61061768429802
2015-Q4,GDPV_ANNPCT,0.739960971216789
2016-Q1,GDPV_ANNPCT,2.33830615244389
2016-Q2,GDPV_ANNPCT,1.29069677023747
2016-Q3,GDPV_ANNPCT,2.86789814146939
2016-Q4,GDPV_ANNPCT,2.23569951858657
2017-Q1,GDPV_ANNPCT,1.96183079024524
2017-Q2,GDPV_ANNPCT,2.25836798311525
2017-Q3,GDPV_ANNPCT,3.19159923944065
2017-Q4,GDPV_ANNPCT,4.58497481172903
2018-Q1,GDPV_ANNPCT,3.29355304769827
2018-Q2,GDPV_ANNPCT,2.14026699264092
2018-Q3,GDPV_ANNPCT,2.51822680820574
2018-Q4,GDPV_ANNPCT,0.567781798681924
2019-Q1,GDPV_ANNPCT,2.19016621145167
2019-Q2,GDPV_ANNPCT,3.36020252248103
2019-Q3,GDPV_ANNPCT,4.60619376911039
2019-Q4,GDPV_ANNPCT,2.59005707641911
2020-Q1,GDPV_ANNPCT,-5.3410242111711
2020-Q2,GDPV_ANNPCT,-28.0206559121981
2020-Q3,GDPV_ANNPCT,34.839710925879
2020-Q4,GDPV_ANNPCT,4.20564383342023
2021-Q1,GDPV_ANNPCT,5.24208999676648
2021-Q2,GDPV_ANNPCT,6.21897287751756
2021-Q3,GDPV_ANNPCT,3.29749735807471
2021-Q4,GDPV_ANNPCT,6.96179366074569
2022-Q1,GDPV_ANNPCT,-1.97590549619034
2022-Q2,GDPV_ANNPCT,-0.563892799645926
2022-Q3,GDPV_ANNPCT,2.66061595927351
2022-Q4,GDPV_ANNPCT,2.56601808260202
2023-Q1,GDPV_ANNPCT,2.24416516901586
2023-Q2,GDPV_ANNPCT,2.06021662140353
2023-Q3,GDPV_ANNPCT,4.86168621776195
2023-Q4,GDPV_ANNPCT,3.39603003128187
2024-Q1,GDPV_ANNPCT,2.29278984740734
2024-Q2,GDPV_ANNPCT,1.65314357127359
2024-Q3,GDPV_ANNPCT,1.63112421641345
2024-Q4,GDPV_ANNPCT,1.79287906130465
2025-Q1,GDPV_ANNPCT,1.87553924332202
2025-Q2,GDPV_ANNPCT,1.88251944722276
2025-Q3,GDPV_ANNPCT,1.92205501645819
2025-Q4,GDPV_ANNPCT,1.96830197304737

