,S,I,R,D,P,N,C
34,0.46358002375908475,0.061689801874463074,0.4699828726227878,0.004747301743664523,0.9952526982563354,0.16587544970938928,6.520001094613571
35,0.44594925823088283,0.05533008889592937,0.4937334463444561,0.0049872065287318796,0.9950127934712681,0.1658354655785447,6.526846945424147
36,0.43073748317062344,0.04902460716332736,0.5150355305693889,0.005202379096660494,0.9947976209033395,0.16579960348388995,6.533784906488805
37,0.4177190154864485,0.04297794983954165,0.5339100043272699,0.0053930303467401,0.9946069696532599,0.16576782827554332,6.540542151912833
38,0.40665117168592807,0.03733214648024037,0.5504565150154934,0.005560166818338318,0.9944398331816617,0.16573997219694364,6.546923579107904
39,0.39729198586300607,0.032173275338624435,0.564829391410386,0.005705347387983698,0.9942946526120163,0.16571577543533608,6.5528046503771336
40,0.38941176914896497,0.027541662754311608,0.5772161024157564,0.005830465680967237,0.9941695343190328,0.1656949223865055,6.558119305062198
41,0.382799777292184,0.023443007984415856,0.5878196425761664,0.005937572147234005,0.994062427852766,0.16567707130879436,6.56284638083069
42,0.3772673197100024,0.01985874023932463,0.5968452006501664,0.006028739400506733,0.9939712605994933,0.16566187676658223,6.566996766592469
43,0.3726484686021601,0.01675474792076288,0.6044908156423064,0.006105967834770773,0.9938940321652292,0.16564900536087157,6.5706024477878096
44,0.36879926999541857,0.014088211224985533,0.6109413935918001,0.0061711251877959615,0.993828874812204,0.165638145802034,6.573707842695807
45,0.3655961073729763,0.011812625037711208,0.6163653549134196,0.006225912675893127,0.9937740873241069,0.16562901455401785,6.576363363366546
46,0.3629336598134179,0.009881273971493014,0.6209132155529384,0.006271850662150893,0.9937281493378491,0.16562135822297488,6.57862090047222
47,0.3607227385834816,0.008249477545848748,0.6247175060319633,0.006310277838706699,0.9936897221612933,0.16561495369354895,6.580530850125754
48,0.35888817383096705,0.006875912141644345,0.6278935548871151,0.0063423591402738885,0.9936576408597261,0.1656096068099544,6.582140307594937
49,0.35736684692119797,0.005723273218551763,0.6305407810616481,0.006369098798602505,0.9936309012013975,0.16560515020023298,6.583492102165994
50,0.35610591447496953,0.00475848830201007,0.6327442412507905,0.0063913559722302065,0.9936086440277698,0.165601440671295,6.584624410903542
51,0.35506123930181904,0.003952640246601087,0.6345762592470644,0.006409861204515801,0.9935901387954842,0.1655983564659141,6.585570751282889
52,0.3541960251109518,0.0032807165637901395,0.6360980257420058,0.006425232583252583,0.9935747674167474,0.16559579456945794,6.5863602065564635
53,0.35347964177445995,0.002721265681030262,0.637361101619065,0.0064379909254451,0.9935620090745549,0.16559366817909252,6.587017781057716
