,ns,ni,nr,cs,ci,cr,transfer,T,S,I,R,D,tau,Ur,Ui,Us,mus,lami,P,lams,R1,R2,R3,C,N,Neff,walras,pid,pr_treat,pr_vacc,mortality,ctax,kappa,pir,beta,pidbar,theta,A,eps,pi1,pi2,pi3,C_dev,N_dev
64,0.13319649770498193,0.13027712585962456,0.13675938642172136,5.305884932541538,4.535471984246997,5.400618835218108,2.64092286447442,0.003137885864936048,0.8208416982564245,0.008598673478351604,0.1688540319825721,0.0017055962826522427,0.0038227661577150984,1768.9677248158293,1750.9444947717411,1767.7959210836016,16.554914900718476,0.14729825788148504,0.9982944037173478,0.12392651530500587,-8.706795284751934e-10,-1.3832351930531672e-11,1.9673707107870086e-12,5.306206906970921,0.13354582365370063,0.1333217815603076,-8.706786402967737e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.20006931050689625,-0.19872505807779617
65,0.1332593907164609,0.13026136583656356,0.1367460097043239,5.308441171143349,4.536020720569112,5.4011471325489495,2.6422460426349073,0.003051754727625619,0.8177038123914885,0.00839263076837314,0.17216452127173745,0.001739035568401388,0.003732102848707942,1769.0060602516953,1750.982533454587,1767.875310803968,16.59488923126973,0.14728043875993369,0.9982609644315986,0.12390851590278792,-8.762617298430087e-10,-1.3928219688708054e-11,8.52595771760889e-13,5.308687640958787,0.13360275866923255,0.1333841115598625,-8.76260841664589e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.19969533050872545,-0.19838344798460472
66,0.13332501164842248,0.1302452320260123,0.13673231526412327,5.311091045731389,4.53658260907499,5.4016880850390665,2.6436008091087517,0.002964323509906419,0.8146520576638628,0.008180584641631426,0.17539568411756112,0.0017716735769450613,0.003638760231462573,1769.0442619939022,1751.0204411969257,1767.9540086965276,16.63424872345291,0.14726219701433552,0.9982283264230549,0.12389005408161564,-8.823479724640038e-10,-1.3979262192265196e-11,-1.3050671654468715e-13,5.3112359239275895,0.1336612351989325,0.13344813876998096,-8.823475283747939e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.19931116724709697,-0.19803258880640495
67,0.13339301795980832,0.1302287981310268,0.13671836563124082,5.313821322619982,4.537155091684289,5.402239229469326,2.644980988113814,0.0028759629612046126,0.8116877341539565,0.00796356967979229,0.17854520920458922,0.0018034869616625167,0.003543188889262081,1769.08232604364,1751.0582136716057,1768.031943935077,16.6729341470139,0.14724361597729163,0.9981965130383375,0.1238712220468122,-8.88706441770637e-10,-1.398889337700382e-11,-9.886813590043175e-13,5.313839473175886,0.1337209718017263,0.13351355458007988,-8.887068858598468e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.19891867238554484,-0.1976741691896422
68,0.1334630704395368,0.13021213519260078,0.13670422108413338,5.316619003645087,4.5377357006719015,5.402798189731569,2.6463806238767553,0.0027870248647876455,0.8088117711927518,0.007742588876633235,0.18161118353130926,0.0018344563993061534,0.003445826289938424,1769.1202491644583,1751.0958473232454,1768.1090525251745,16.71089222508502,0.14722477597153355,0.9981655436006939,0.12385210857133616,-8.95175045201313e-10,-1.3962109246534737e-11,-1.7304213617563846e-12,5.316486428674316,0.13378169680538488,0.1335800609994759,-8.951754892905228e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.1985196338681935,-0.19730981916769075
69,0.13353483602975114,0.130195311163482,0.13668993928775378,5.31947142516698,4.538322073537633,5.403362691142776,2.647794016460481,0.002697840497478902,0.8060247463279642,0.00751860695606351,0.18459208024881305,0.0018645664671597271,0.0033470938823771243,1769.1580288553466,1751.133339343281,1768.1852772940833,16.748075592258264,0.14720575382805753,0.9981354335328403,0.12383279839885464,-9.016343227585821e-10,-1.3904294382527382e-11,-2.365108109358971e-12,5.319165425476895,0.13384314995119748,0.13364737247676536,-9.016343227585821e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.19811576500348305,-0.19694110029281509
70,0.13360799035803395,0.1301783905567422,0.13667557499499164,5.322366345192127,4.538911965323469,5.403930572299292,2.6492157513908596,0.0026087194844004197,0.8033269058304853,0.007292544748406602,0.1874867439268975,0.0018938054942110852,0.0032473946353178684,1769.1956633193652,1751.1706876402282,1768.2605678182497,16.784442701436213,0.14718662248877887,0.998106194505789,0.1238133717569194,-9.080078910983502e-10,-1.382124970028542e-11,-2.902150741945775e-12,5.32186565380311,0.1339050837571068,0.13371521740942469,-9.080078910983502e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.19770869540656621,-0.1965694974573592
71,0.1336822199634112,0.13016143416705547,0.13666117980968467,5.3252920183176204,4.539503258441886,5.404499794532574,2.6506407232427636,0.00251994902279086,0.8007181863460848,0.007065274608426677,0.19029437365503402,0.0019221653904548887,0.0031471110132893776,1769.2331514285893,1751.207890805946,1768.3348802945177,16.819957685094245,0.14716745069139436,0.9980778346095451,0.12379390397715453,-9.142486767643732e-10,-1.3719331226624831e-11,-3.3517910669189632e-12,5.324576907096643,0.1339672646064798,0.13378333935131642,-9.14249120853583e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.19729996375427494,-0.19619641236112106
72,0.13375722420881675,0.13014449886141352,0.13664680200845036,5.328237258478728,4.540093970120991,5.405068449068755,2.652064153448002,0.0024317934448445052,0.798198237323294,0.006837616839051607,0.19301450437927828,0.0019496414583765479,0.003046603376373477,1769.2704926861254,1751.2449480786647,1768.4081773615876,16.854590176771207,0.14714830273275398,0.9980503585416235,0.12377446521728164,-9.203313666716895e-10,-1.360409007666874e-11,-3.723021890778e-12,5.3272896185720775,0.1340294735743333,0.13385149793094836,-9.203331430285289e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.19689101227556616,-0.19582315855400012
73,0.1338327168798062,0.13012763743502154,0.13663248641775388,5.331191489724415,4.540682257606452,5.405634762027202,2.6534816026701353,0.002344494086748766,0.7957664438784495,0.006610337068709376,0.19564698686231316,0.001976232190528415,0.002946208783725591,1769.307687185909,1751.2818593035176,1768.4804278783947,16.888315098635907,0.14712923830592886,0.9980237678094716,0.123755120278157,-9.262599576231878e-10,-1.3480938587662195e-11,-4.02489153117358e-12,5.329994886926538,0.1340915070065745,0.13391946949749445,-9.262590694447681e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.19648318287539623,-0.195450957960553
74,0.13390842747558757,0.13011089852737395,0.13661827434199358,5.334144785454857,4.5412664212865215,5.4061970974185725,2.6548889781543323,0.002258269429531957,0.7934219497917008,0.006384144517626719,0.19819196663376626,0.0020019390569067292,0.0028462401753881744,1769.3447355709625,1751.3186248912718,1768.5516066660718,16.921112420903995,0.14711031240532232,0.9979980609430933,0.12373592850777715,-9.320282323699303e-10,-1.3354761740913546e-11,-4.2656156384879296e-12,5.332684492020511,0.1341531768706894,0.13398704751478596,-9.320304528159795e-10,0.003888888888888889,0.0,0.019230769230769232,0.010101010101010102,0.4968555809461146,0.0,0.385,0.9992152697058329,0.003888888888888889,36,39.8,0.001,0.0046,7.3983,0.2055,-0.19607771477077718,-0.19508093877586363
